threshold,margin,n_active_m3_records,n_nonnegated_records,accepted_records,accepted_rate_all_active_pct,accepted_rate_nonnegated_pct,accepted_unique_instruction_texts,accepted_unique_semantic_intents,abstain_negation,abstain_below_threshold,abstain_ambiguous_margin,abstain_no_candidate,accepted_with_runner_up,accepted_without_runner_up,accepted_with_expected_node,expected_node_agree,expected_node_disagree,expected_node_agreement_pct,new_accepts_vs_nominal,lost_accepts_vs_nominal
0.75,0.0,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.05,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.1,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.15,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.2,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.3,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.5,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.8,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.9,212,173,18,8.49056603773585,10.404624277456648,2,5,39,134,21,0,14,4,14,14,0,100.0,0,21
0.75,1.0,212,173,18,8.49056603773585,10.404624277456648,2,5,39,134,21,0,14,4,14,14,0,100.0,0,21
