threshold,margin,n_active_m3_records,n_nonnegated_records,accepted_records,accepted_rate_all_active_pct,accepted_rate_nonnegated_pct,accepted_unique_instruction_texts,accepted_unique_semantic_intents,abstain_negation,abstain_below_threshold,abstain_ambiguous_margin,abstain_no_candidate,accepted_with_runner_up,accepted_without_runner_up,accepted_with_expected_node,expected_node_agree,expected_node_disagree,expected_node_agreement_pct,new_accepts_vs_nominal,lost_accepts_vs_nominal
0.2,0.1,212,173,54,25.471698113207548,31.213872832369944,10,14,39,114,5,0,50,4,41,37,4,90.2439024390244,15,0
0.25,0.1,212,173,53,25.0,30.63583815028902,9,13,39,120,0,0,49,4,40,36,4,90.0,14,0
0.375,0.1,212,173,44,20.754716981132077,25.433526011560694,8,12,39,129,0,0,40,4,40,36,4,90.0,5,0
0.5,0.1,212,173,43,20.28301886792453,24.85549132947977,7,11,39,130,0,0,39,4,39,35,4,89.74358974358974,4,0
0.6,0.1,212,173,43,20.28301886792453,24.85549132947977,7,11,39,130,0,0,39,4,39,35,4,89.74358974358974,4,0
0.625,0.1,212,173,43,20.28301886792453,24.85549132947977,7,11,39,130,0,0,39,4,39,35,4,89.74358974358974,4,0
0.65,0.1,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.7,0.1,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.75,0.1,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
0.85,0.1,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
1.0,0.1,212,173,39,18.39622641509434,22.54335260115607,5,9,39,134,0,0,35,4,35,35,0,100.0,0,0
