min_frequency,consistency_threshold,promoted_count,promoted_candidates
1,0.00,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.01,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.02,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.03,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.04,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.05,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.06,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.07,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.08,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.09,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.10,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.11,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.12,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.13,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.14,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.15,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.16,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.17,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.18,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.19,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.20,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.21,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.22,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.23,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.24,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.25,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.26,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.27,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.28,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.29,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.30,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.31,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.32,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.33,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.34,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.35,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.36,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.37,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.38,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.39,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.40,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.41,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.42,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.43,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.44,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.45,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.46,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.47,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.48,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.49,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.50,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
1,0.51,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.52,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.53,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.54,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.55,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.56,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.57,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.58,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.59,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.60,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.61,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.62,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.63,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.64,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.65,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.66,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.67,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.68,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.69,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.70,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.71,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.72,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.73,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.74,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.75,2,"[""quiet_corner"", ""wet_gloves""]"
1,0.76,1,"[""wet_gloves""]"
1,0.77,1,"[""wet_gloves""]"
1,0.78,1,"[""wet_gloves""]"
1,0.79,1,"[""wet_gloves""]"
1,0.80,1,"[""wet_gloves""]"
1,0.81,1,"[""wet_gloves""]"
1,0.82,1,"[""wet_gloves""]"
1,0.83,1,"[""wet_gloves""]"
1,0.84,1,"[""wet_gloves""]"
1,0.85,1,"[""wet_gloves""]"
1,0.86,1,"[""wet_gloves""]"
1,0.87,1,"[""wet_gloves""]"
1,0.88,1,"[""wet_gloves""]"
1,0.89,1,"[""wet_gloves""]"
1,0.90,1,"[""wet_gloves""]"
1,0.91,1,"[""wet_gloves""]"
1,0.92,1,"[""wet_gloves""]"
1,0.93,1,"[""wet_gloves""]"
1,0.94,1,"[""wet_gloves""]"
1,0.95,1,"[""wet_gloves""]"
1,0.96,1,"[""wet_gloves""]"
1,0.97,1,"[""wet_gloves""]"
1,0.98,1,"[""wet_gloves""]"
1,0.99,1,"[""wet_gloves""]"
1,1.00,1,"[""wet_gloves""]"
2,0.00,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.01,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.02,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.03,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.04,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.05,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.06,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.07,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
2,0.08,3,"[""deliveries"", ""quiet_corner"", ""wet_gloves""]"
