session,day,run_id,audit_file,platform_id,record_seq,timestamp_utc,audit_schema_version,navigator_version,experiment_id,experiment_phase,semantic_intent_id,repetition_index,instruction_text,resolution_method,resolution_step,node_id,node_name,expected_node_id,nav_outcome,arrival_ok,xy_error_m,distance_traveled_m,start_x_m,start_y_m,start_yaw_rad,end_x_m,end_y_m,end_yaw_rad,amcl_converged,amcl_covariance_trace,resolve_ms,vlm_ms,nav_total_s,reroute_count,confirmation_method,confirmed,confirmation_confidence,m3_promotion_triggered,m3_preferences_count,memory_digest_hash,digest_content_md5,image_start,image_finish
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,1,2026-04-22T09:52:48+00:00,2.0,v4.7.4,,,,,go to a place to take a short break for personal needs,L3a_m3_preference,,0,toilet_m,,mission_complete,,0.189,6.591,2.3367,4.8955,-1.5801,0.5023,0.1894,-1.5497,,,0.07843971252441406,0.0,30.6,0,pose_based,True,HIGH,True,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_1_toilet_m/start.jpg,data/session_a/20260422_125210/mission_1_toilet_m/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,2,2026-04-22T09:53:50+00:00,2.0,v4.7.4,,,,,go to cb204,L3a_deterministic,,5,cb204,,mission_complete,,0.176,6.162,0.5023,0.1894,-1.5497,2.2313,4.6266,1.5384,,,0.20456314086914062,0.0,53.14,0,vlm_landmark,True,HIGH,False,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_2_cb204/start.jpg,data/session_a/20260422_125210/mission_2_cb204/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,3,2026-04-22T09:54:39+00:00,2.0,v4.7.4,,,,,go to a place to take a short break for personal needs,L3a_m3_preference,,0,toilet_m,,mission_complete,,0.163,6.496,2.2313,4.6266,1.5384,0.4779,0.1618,-1.614,,,0.07772445678710938,0.0,40.72,0,pose_based,True,HIGH,True,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_3_toilet_m/start.jpg,data/session_a/20260422_125210/mission_3_toilet_m/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,4,2026-04-22T09:55:37+00:00,2.0,v4.7.4,,,,,go to cb204,L3a_deterministic,,5,cb204,,mission_complete,,0.192,6.533,0.4779,0.1618,-1.614,2.1825,4.6091,1.6243,,,0.07557868957519531,0.0,51.21,0,vlm_landmark,False,MEDIUM,False,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_4_cb204/start.jpg,data/session_a/20260422_125210/mission_4_cb204/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,5,2026-04-22T09:56:19+00:00,2.0,v4.7.4,,,,,go to a place to take a short break for personal needs,L3a_m3_preference,,0,toilet_m,,mission_complete,,0.203,6.393,2.1825,4.6091,1.6243,0.5079,0.2025,-1.6168,,,0.06270408630371094,0.0,34.87,0,pose_based,True,HIGH,True,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_5_toilet_m/start.jpg,data/session_a/20260422_125210/mission_5_toilet_m/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,6,2026-04-22T09:57:11+00:00,2.0,v4.7.4,,,,,go to cb204,L3a_deterministic,,5,cb204,,mission_complete,,0.224,6.342,0.5079,0.2025,-1.6168,2.1997,4.5757,1.5758,,,0.08320808410644531,0.0,44.02,0,vlm_landmark,True,HIGH,False,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_6_cb204/start.jpg,data/session_a/20260422_125210/mission_6_cb204/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,7,2026-04-22T09:57:45+00:00,2.0,v4.7.4,,,,,go to a place to take a short break for personal needs,L3a_m3_preference,,0,toilet_m,,missed,,5.231,0.308,2.1997,4.5757,1.5758,2.2358,4.9351,1.0936,,,0.057697296142578125,0.0,29.81,0,,,,True,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_7_toilet_m/start.jpg,
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,8,2026-04-22T09:58:22+00:00,2.0,v4.7.4,,,,,go to a place to take a short break for personal needs,L3a_m3_preference,,0,toilet_m,,mission_complete,,0.165,6.933,2.2358,4.9351,1.0936,0.4828,0.1643,-1.4956,,,0.056743621826171875,0.0,36.08,0,pose_based,True,HIGH,True,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_8_toilet_m/start.jpg,data/session_a/20260422_125210/mission_8_toilet_m/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,9,2026-04-22T09:59:09+00:00,2.0,v4.7.4,,,,,go to cb204,L3a_deterministic,,5,cb204,,mission_complete,,0.213,6.253,0.4828,0.1643,-1.4956,2.198,4.5874,1.5763,,,0.09751319885253906,0.0,42.95,0,vlm_landmark,False,MEDIUM,False,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_9_cb204/start.jpg,data/session_a/20260422_125210/mission_9_cb204/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,10,2026-04-22T09:59:55+00:00,2.0,v4.7.4,,,,,go to a place to take a short break for personal needs,L3a_m3_preference,,0,toilet_m,,mission_complete,,0.192,6.519,2.198,4.5874,1.5763,0.5245,0.1901,-1.5445,,,0.05936622619628906,0.0,38.27,0,pose_based,True,HIGH,True,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_10_toilet_m/start.jpg,data/session_a/20260422_125210/mission_10_toilet_m/finish.jpg
A,,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,11,2026-04-22T10:00:55+00:00,2.0,v4.7.4,,,,,go to cb204,L3a_deterministic,,5,cb204,,missed,,4.905,0.0,0.5245,0.1901,-1.5445,0.5245,0.1901,-1.5445,,,0.07367134094238281,0.0,55.67,0,,,,False,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_125210/mission_11_cb204/start.jpg,
A,,20260422_130731,data/session_a/audits/audit_20260422_130731.jsonl,xplorer-c,1,2026-04-22T10:08:23+00:00,2.0,v4.7.4,,,,,go to cb204,L3a_deterministic,,5,cb204,,mission_complete,,0.179,6.241,0.5151,0.2113,-1.6332,2.2047,4.6213,1.5284,,,0.20956993103027344,0.0,41.32,0,vlm_landmark,False,MEDIUM,False,3,a18b610f06e9ded2e89f7d64bfc6357c,,data/session_a/20260422_130731/mission_1_cb204/start.jpg,data/session_a/20260422_130731/mission_1_cb204/finish.jpg
