image,kind,day,run_id,platform_id,experiment_id,node_id,node_name,tag_id,tag_side_px,decision_margin,detected_at_scale,corner_u,corner_v
day1_20260820/logs/20260820_122950/mission_1_toilet_m/finish.jpg,finish,day1_20260820,20260820_122950,xplorer-c,E1,0,toilet_m,3,152.197684,67.913223,1,39.50;191.63;186.06;32.58,385.49;381.14;229.89;233.95
day1_20260820/logs/20260820_125837/mission_1_plant_3/finish.jpg,finish,day1_20260820,20260820_125837,xplorer-c,E1,19,plant_3,1,88.803766,62.15715,1,473.89;560.98;564.01;472.68,296.71;291.91;204.56;207.50
day1_20260820/logs/20260820_143504/mission_1_cb204/start.jpg,start,day1_20260820,20260820_143504,xplorer-b,E1,5,cb204,2,17.520331,36.274311,1,6.05;20.05;18.32;3.97,189.37;188.66;168.10;168.40
day1_20260820/logs/20260820_144134/mission_1_cb204/start.jpg,start,day1_20260820,20260820_144134,xplorer-c,E1,5,cb204,2,18.661796,38.925449,1,8.63;23.39;22.53;7.30,237.03;235.96;214.00;214.44
day1_20260820/logs/20260820_144526/mission_1_plant_3/start.jpg,start,day1_20260820,20260820_144526,xplorer-c,E1,19,plant_3,4,12.317625,23.716543,1,303.28;315.43;315.04;302.27,214.29;213.61;201.76;201.85
day1_20260820/logs/20260820_144526/mission_1_plant_3/finish.jpg,finish,day1_20260820,20260820_144526,xplorer-c,E1,19,plant_3,1,82.604888,65.495155,1,448.22;530.08;532.01;446.84,292.14;288.20;207.22;209.90
day1_20260820/logs/20260820_144633/mission_1_plant_3/start.jpg,start,day1_20260820,20260820_144633,xplorer-c,E1,19,plant_3,4,11.940019,30.954435,2,286.85;298.62;297.98;285.89,212.23;211.38;199.79;200.02
day1_20260820/logs/20260820_144633/mission_1_plant_3/finish.jpg,finish,day1_20260820,20260820_144633,xplorer-c,E1,19,plant_3,1,88.707378,61.928734,1,258.91;347.22;346.45;255.30,308.99;302.93;216.99;219.87
day1_20260820/logs/20260820_145232/mission_1_plant_3/start.jpg,start,day1_20260820,20260820_145232,xplorer-b,E1,19,plant_3,4,12.350424,12.253682,1,362.90;375.06;374.84;362.25,170.45;169.40;157.74;157.52
day1_20260820/logs/20260820_145354/mission_1_plant_3/start.jpg,start,day1_20260820,20260820_145354,xplorer-b,E1,19,plant_3,4,11.921503,13.203108,1,402.90;414.30;414.14;401.72,170.69;169.60;158.20;158.31
day1_20260820/logs/20260820_145354/mission_2_plant_3/finish.jpg,finish,day1_20260820,20260820_145354,xplorer-b,E1,19,plant_3,1,76.166166,52.746433,1,547.81;624.11;629.49;549.32,227.61;224.61;150.69;153.65
day1_20260820/logs/20260820_152656/mission_1_toilet_m/finish.jpg,finish,day1_20260820,20260820_152656,xplorer-b,E2,0,toilet_m,3,132.621075,65.338852,1,114.62;247.81;241.68;104.68,291.85;284.67;157.06;159.91
day1_20260820/logs/20260820_155310/mission_1_toilet_m/finish.jpg,finish,day1_20260820,20260820_155310,xplorer-c,E2,0,toilet_m,3,165.237907,68.126144,1,249.66;414.81;411.00;244.24,386.48;384.09;218.65;223.09
day2_20260821/logs/20260821_110624/mission_2_toilet_m/start.jpg,start,day2_20260821,20260821_110624,xplorer-b,E3,0,toilet_m,3,40.057077,50.094734,1,482.84;523.81;524.37;483.12,191.24;190.34;151.09;152.52
day2_20260821/logs/20260821_110624/mission_2_toilet_m/finish.jpg,finish,day2_20260821,20260821_110624,xplorer-b,E3,0,toilet_m,3,184.479449,68.926071,1,68.91;248.97;240.06;53.26,333.42;330.87;144.66;149.52
day2_20260821/logs/20260821_111411/mission_2_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,13.1526,18.00161,2,362.00;374.77;374.44;361.07,173.22;172.49;159.30;160.02
day2_20260821/logs/20260821_111411/mission_3_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,15.71957,24.774151,1,258.83;274.50;273.62;257.97,179.05;177.99;162.53;163.04
day2_20260821/logs/20260821_111411/mission_4_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,18.283789,26.021255,1,408.44;426.69;426.26;407.81,179.58;178.43;160.55;161.09
day2_20260821/logs/20260821_111411/mission_5_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,21.299584,31.31904,1,314.32;335.24;334.11;312.90,183.51;181.86;160.80;161.66
day2_20260821/logs/20260821_112225/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_112225,xplorer-b,E3,0,toilet_m,3,126.053243,62.17915,2,338.08;463.63;463.44;334.67,279.71;277.34;151.37;155.94
day2_20260821/logs/20260821_113738/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_113738,xplorer-b,E3,0,toilet_m,3,129.229823,64.582352,1,174.56;303.40;298.61;165.95,288.36;281.18;155.80;158.94
day2_20260821/logs/20260821_115814/mission_1_plant_3/finish.jpg,finish,day2_20260821,20260821_115814,xplorer-c,E3,19,plant_3,1,89.864444,59.990852,1,494.60;583.38;586.54;493.46,300.10;295.73;207.86;210.59
day2_20260821/logs/20260821_121016/mission_1_cb203_entrance/finish.jpg,finish,day2_20260821,20260821_121016,xplorer-c,E3,22,cb203_entrance,4,115.320807,72.122391,1,427.46;542.81;537.97;421.29,327.85;322.18;207.16;214.25
day2_20260821/logs/20260821_122544/mission_1_toilet_m/finish.jpg,finish,day2_20260821,20260821_122544,xplorer-c,E3,0,toilet_m,3,161.783111,56.140491,2,2.59;166.50;161.00;2.04,400.58;382.56;227.47;232.57
