image,kind,day,run_id,platform_id,experiment_id,node_id,node_name,tag_id,tag_side_px,tag_distance_m,reprojection_error_px,camera_height_optical_m,amcl_x,amcl_y,amcl_yaw,amcl_converged,amcl_covariance_trace,tag_x_m,tag_y_m,tag_yaw_rad,dx_m,dy_m,dyaw_deg,range_component_m,lateral_component_m,included,exclusion_reason
day1_20260820/logs/20260820_122950/mission_1_toilet_m/finish.jpg,finish,day1_20260820,20260820_122950,xplorer-c,E1,0,toilet_m,3,152.197684,0.599297,0.090446,0.15813,0.6807,0.081,-3.071,True,0.061555,0.852419,0.207991,-3.087591,0.171719,0.126991,-0.950584,0.171719,0.126991,yes,
day1_20260820/logs/20260820_125837/mission_1_plant_3/finish.jpg,finish,day1_20260820,20260820_125837,xplorer-c,E1,19,plant_3,1,88.803766,0.993293,2.496597,0.330121,6.4999,-0.7407,-1.467,True,0.049811,6.81728,-0.689718,-1.745982,0.31738,0.050982,-15.984477,0.050982,-0.31738,no,tag_survey_inconsistent
day1_20260820/logs/20260820_143504/mission_1_cb204/start.jpg,start,day1_20260820,20260820_143504,xplorer-b,E1,5,cb204,2,17.520331,,,,2.3706,1.5778,1.7921,True,0.046678,,,,,,,,,no,tag_not_surveyed
day1_20260820/logs/20260820_144134/mission_1_cb204/start.jpg,start,day1_20260820,20260820_144134,xplorer-c,E1,5,cb204,2,18.661796,,,,2.2468,1.6505,1.5207,True,0.065567,,,,,,,,,no,tag_not_surveyed
day1_20260820/logs/20260820_144526/mission_1_plant_3/start.jpg,start,day1_20260820,20260820_144526,xplorer-c,E1,19,plant_3,4,12.317625,6.161065,1.634472,3.128324,2.388,1.6747,0.0915,True,0.037587,4.773179,4.87695,-0.638132,2.385179,3.20225,-41.804846,-2.385179,-3.20225,no,tag_side_below_80px
day1_20260820/logs/20260820_144526/mission_1_plant_3/finish.jpg,finish,day1_20260820,20260820_144526,xplorer-c,E1,19,plant_3,1,82.604888,1.05922,2.083451,0.347676,6.4903,-0.7796,-1.5577,True,0.037587,6.780189,-0.6039,-1.720165,0.289889,0.1757,-9.308536,0.1757,-0.289889,no,tag_survey_inconsistent
day1_20260820/logs/20260820_144633/mission_1_plant_3/start.jpg,start,day1_20260820,20260820_144633,xplorer-c,E1,19,plant_3,4,11.940019,6.299766,1.727637,1.670142,2.3513,1.7502,-0.02,True,0.028536,4.884634,6.125304,-0.827687,2.533334,4.375104,-46.277042,-2.533334,-4.375104,no,tag_side_below_80px
day1_20260820/logs/20260820_144633/mission_1_plant_3/finish.jpg,finish,day1_20260820,20260820_144633,xplorer-c,E1,19,plant_3,1,88.707378,0.951333,0.542854,0.31258,6.2898,-0.7388,-1.6137,True,0.028536,6.515893,-0.632251,-1.734453,0.226093,0.106549,-6.91864,0.106549,-0.226093,no,tag_survey_inconsistent
day1_20260820/logs/20260820_145232/mission_1_plant_3/start.jpg,start,day1_20260820,20260820_145232,xplorer-b,E1,19,plant_3,4,12.350424,6.189995,2.191974,1.217473,2.3658,1.738,-0.0147,True,0.032733,5.366442,6.447844,-0.80664,3.000642,4.709844,-45.374813,-3.000642,-4.709844,no,tag_side_below_80px
day1_20260820/logs/20260820_145354/mission_1_plant_3/start.jpg,start,day1_20260820,20260820_145354,xplorer-b,E1,19,plant_3,4,11.921503,6.650181,1.714837,3.323172,2.21,1.5478,0.1744,True,0.019829,4.611859,5.298696,-0.519294,2.401859,3.750896,-39.745748,-2.401859,-3.750896,no,tag_side_below_80px
day1_20260820/logs/20260820_145354/mission_2_plant_3/finish.jpg,finish,day1_20260820,20260820_145354,xplorer-b,E1,19,plant_3,1,76.166166,1.251038,2.504301,0.421532,6.5798,-0.6605,-1.4959,True,0.032747,6.839847,-0.510648,-1.606996,0.260047,0.149852,-6.365351,0.149852,-0.260047,no,tag_side_below_80px
day1_20260820/logs/20260820_152656/mission_1_toilet_m/finish.jpg,finish,day1_20260820,20260820_152656,xplorer-b,E2,0,toilet_m,3,132.621075,0.673504,0.402447,0.17893,0.754,0.0087,3.1232,True,0.063141,0.890533,0.005638,3.005879,0.136533,-0.003062,-6.721991,0.136533,-0.003062,yes,
day1_20260820/logs/20260820_155310/mission_1_toilet_m/finish.jpg,finish,day1_20260820,20260820_155310,xplorer-c,E2,0,toilet_m,3,165.237907,0.52379,0.121102,0.171395,0.5973,0.0227,-3.0285,True,0.06713,0.806659,0.021685,-3.095648,0.209359,-0.001015,-3.847292,0.209359,-0.001015,yes,
day2_20260821/logs/20260821_110624/mission_2_toilet_m/start.jpg,start,day2_20260821,20260821_110624,xplorer-b,E3,0,toilet_m,3,40.057077,2.348816,0.067227,-0.197706,2.1292,0.2446,-2.7581,True,0.033904,2.542774,-0.196814,-2.968817,0.413574,-0.441414,-12.073188,0.413574,-0.441414,no,tag_side_below_80px
day2_20260821/logs/20260821_110624/mission_2_toilet_m/finish.jpg,finish,day2_20260821,20260821_110624,xplorer-b,E3,0,toilet_m,3,184.479449,0.479765,0.112689,0.138891,0.4522,0.1241,-2.8786,True,0.033904,0.676509,0.1752,-3.035568,0.224309,0.0511,-8.993613,0.224309,0.0511,yes,
day2_20260821/logs/20260821_111411/mission_2_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,13.1526,5.82978,1.761302,4.296599,3.0228,1.7944,0.0028,True,0.110895,5.117676,2.169881,-0.022901,2.094876,0.375481,-1.472566,-2.094876,-0.375481,no,tag_side_below_80px
day2_20260821/logs/20260821_111411/mission_3_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,15.71957,4.920189,1.886511,-0.682304,4.0114,1.7442,-0.1436,True,0.114148,5.661994,5.066412,-0.816277,1.650594,3.322212,-38.541534,-1.650594,-3.322212,no,tag_side_below_80px
day2_20260821/logs/20260821_111411/mission_4_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,18.283789,4.31311,2.38057,0.591839,4.6728,1.7214,0.0454,True,0.101643,6.156754,4.7407,-0.640845,1.483954,3.0193,-39.318955,-1.483954,-3.0193,no,tag_side_below_80px
day2_20260821/logs/20260821_111411/mission_5_plant_3/start.jpg,start,day2_20260821,20260821_111411,xplorer-b,E3,19,plant_3,4,21.299584,3.633621,2.372214,0.525699,5.3068,1.7642,-0.0591,True,0.050205,6.515237,4.143232,-0.726176,1.208437,2.379032,-38.220626,-1.208437,-2.379032,no,tag_side_below_80px
