image,day,platform_id,node_name,tag_id,predicted_distance_m,predicted_side_px,u_min,u_max,v_min,v_max,corners_in_frame,fully_in_frame,detected
day1_20260820/logs/20260820_122950/mission_1_toilet_m/finish.jpg,day1_20260820,xplorer-c,toilet_m,3,0.404743,212.337786,138.66292,358.391477,267.026447,490.7711,2,no,yes
day1_20260820/logs/20260820_123335/mission_1_toilet_f/start.jpg,day1_20260820,xplorer-c,toilet_f,3,2.766216,31.06855,-116.613196,438.417056,178.553117,216.449941,2,no,no
day1_20260820/logs/20260820_123503/mission_1_cb204/start.jpg,day1_20260820,xplorer-c,cb204,3,2.713069,31.677155,11.650022,521.175499,186.929446,222.747342,4,yes,no
day1_20260820/logs/20260820_124328/mission_1_radiator/start.jpg,day1_20260820,xplorer-c,radiator,3,2.545691,33.759919,23.875916,550.456261,186.581257,225.822539,4,yes,no
day1_20260820/logs/20260820_124531/mission_1_plant_4/start.jpg,day1_20260820,xplorer-c,plant_4,1,5.197229,16.53618,-45.889996,71.770945,212.000626,224.439814,2,no,no
day1_20260820/logs/20260820_125530/mission_1_plant_5/start.jpg,day1_20260820,xplorer-c,plant_5,3,2.588305,33.204094,-494.536601,279.467108,150.013858,207.525402,2,no,no
day1_20260820/logs/20260820_125656/mission_3_junction_e1/start.jpg,day1_20260820,xplorer-c,junction_e1,1,3.091485,27.799689,620.666174,642.178549,237.80987,270.160182,2,no,no
day1_20260820/logs/20260820_125837/mission_1_plant_3/finish.jpg,day1_20260820,xplorer-c,plant_3,1,0.829789,103.571244,501.917097,622.807068,256.676923,371.481689,4,yes,yes
day1_20260820/logs/20260820_130207/mission_1_plant_1/finish.jpg,day1_20260820,xplorer-c,plant_1,1,1.106104,77.698233,467.124282,885.441414,216.492957,313.052651,2,no,no
day1_20260820/logs/20260820_130331/mission_1_cb203_entrance/start.jpg,day1_20260820,xplorer-c,cb203_entrance,1,1.106104,77.698233,467.124282,885.441414,216.492957,313.052651,2,no,no
day1_20260820/logs/20260820_130331/mission_1_cb203_entrance/finish.jpg,day1_20260820,xplorer-c,cb203_entrance,4,0.833628,103.094321,151.703577,258.071331,255.997538,361.830776,4,yes,no
day1_20260820/logs/20260820_130509/mission_1_cb203_exit/finish.jpg,day1_20260820,xplorer-c,cb203_exit,3,8.469693,10.14704,96.426812,107.012447,233.600464,244.446812,4,yes,no
