session,audit_file,session_id,platform_id,navigator_version,startup_time_utc,memory_status,m3_associations_count,memory_digest_md5,memory_digest_size_bytes
session_a,audit_20260422_125210.jsonl,20260422_125210,xplorer-c,v4.7.4,2026-04-22T09:52:10Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_a,audit_20260422_130731.jsonl,20260422_130731,xplorer-c,v4.7.4,2026-04-22T10:07:31Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_a,audit_20260422_133920.jsonl,20260422_133920,xplorer-c,v4.7.4,2026-04-22T10:39:20Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_a,audit_20260423_111036.jsonl,20260423_111036,xplorer-c,v4.7.4,2026-04-23T08:10:36Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_a,audit_20260423_111403.jsonl,20260423_111403,xplorer-c,v4.7.4,2026-04-23T08:14:03Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_a,audit_20260423_112335.jsonl,20260423_112335,xplorer-c,v4.7.4,2026-04-23T08:23:35Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_a,audit_20260423_122139.jsonl,20260423_122139,xplorer-c,v4.8,2026-04-23T09:21:39Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_a,audit_20260423_125344.jsonl,20260423_125344,xplorer-c,v4.8,2026-04-23T09:53:44Z,loaded,0,41c0a9e7c78a34df6c0fb4f07f43f1e0,1306
session_a,audit_20260423_125753.jsonl,20260423_125753,xplorer-c,v4.8,2026-04-23T09:57:53Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_a,audit_20260423_130130.jsonl,20260423_130130,xplorer-c,v4.8,2026-04-23T10:01:30Z,loaded,3,a18b610f06e9ded2e89f7d64bfc6357c,1499
session_b,audit_20260423_143541.jsonl,20260423_143541,xplorer-b,v4.8,2026-04-23T11:35:41Z,loaded,6,97241265217eb4b08e26fb718eb21f40,1844
session_b,audit_20260423_150456.jsonl,20260423_150456,xplorer-b,v4.8,2026-04-23T12:04:56Z,loaded,6,97241265217eb4b08e26fb718eb21f40,1844
session_b,audit_20260423_153932.jsonl,20260423_153932,xplorer-b,v4.8,2026-04-23T12:39:32Z,loaded,6,97241265217eb4b08e26fb718eb21f40,1844
session_c,pair1_B_fire.jsonl,20260424_172918,xplorer-b,v4.8,2026-04-24T14:29:18Z,loaded,6,97241265217eb4b08e26fb718eb21f40,1844
session_c,pair1_C_restroom.jsonl,20260424_172924,xplorer-c,v4.8,2026-04-24T14:29:24Z,loaded,6,97241265217eb4b08e26fb718eb21f40,1844
session_c,pair2_B_cb203.jsonl,20260424_164437,xplorer-b,v4.8,2026-04-24T13:44:37Z,loaded,6,97241265217eb4b08e26fb718eb21f40,1844
session_c,pair2_C_cb204.jsonl,20260424_164721,xplorer-c,v4.8,2026-04-24T13:47:21Z,loaded,6,97241265217eb4b08e26fb718eb21f40,1844
